Date,Volume,Open,High,Low,Close,ATR,CC,ODR,Top,Btm,Buy,Sell,Trend,WM,Band,last_pivot
2015-11-02,1145200,1.0579700469970703,1.0997899770736694,0.9536470174789429,0.9897890090942383,0.13226913261978654,-0.06240682451627799,False,False,False,False,False,1.0,1.2066600322723389,5.0,1.2066600322723389
2015-11-03,1907690,0.9945679903030396,1.0704400539398193,0.936614990234375,1.0133600234985352,0.13234692917406943,0.023814180787748773,False,False,False,False,False,1.0,1.2066600322723389,5.0,1.2066600322723389
2015-11-04,3060340,1.0106500387191772,1.0387200117111206,0.7256649732589722,0.8990499973297119,0.14138233463797337,-0.1128029757619391,False,False,False,False,False,1.0,1.2066600322723389,5.0,1.2066600322723389
2015-11-05,1179840,0.9006990194320679,0.991258978843689,0.8603820204734802,0.8956369757652283,0.14085706582458513,-0.0037962533503372864,False,False,False,False,False,1.0,1.2066600322723389,5.0,1.2066600322723389
2015-11-06,913666,0.9047719836235046,0.9898480176925659,0.8529289960861206,0.9260320067405701,0.14066016361367814,0.03393677549921659,False,False,False,False,False,1.0,1.2066600322723389,5.0,1.2066600322723389
2015-11-07,890187,0.9237319827079773,0.9437869787216187,0.8635389804840088,0.9279739856719971,0.13763955534487474,0.0020970969872438072,False,False,False,False,False,1.0,1.2066600322723389,5.0,1.2066600322723389
2015-11-08,1021460,0.9156609773635864,1.0326800346374512,0.9156609773635864,1.0274699926376343,0.13660853044132423,0.10721853037031703,False,False,False,False,False,1.0,1.2066600322723389,6.0,1.2066600322723389
2015-11-09,2045290,1.0325299501419067,1.1064200401306152,0.9452630281448364,0.9992780089378357,0.13783595451854697,-0.02743825503597097,False,False,False,False,False,1.0,1.2066600322723389,5.0,1.2066600322723389
2015-11-10,854581,1.0012600421905518,1.0530400276184082,0.9209679961204529,0.9343479871749878,0.13754775836751737,-0.06497693452882458,False,False,False,False,False,1.0,1.2066600322723389,5.0,1.2066600322723389
2015-11-11,1278580,0.9412959814071655,0.945277988910675,0.7297750115394592,0.791828989982605,0.1414455193177023,-0.1525331023865002,False,False,True,False,False,1.0,1.2066600322723389,4.0,0.791828989982605
2015-11-12,806156,0.7964550256729126,0.9139189720153809,0.76350998878479,0.8957110047340393,0.14189369251334671,0.1311924873497199,False,False,False,False,False,1.0,1.2066600322723389,5.0,0.791828989982605
